{32} -> {39}  (8455 / 15167)
{32} -> {39, 48}  (5402 / 15167)
{32} -> {41}  (3196 / 15167)
{32} -> {48}  (8034 / 15167)
{38} -> {39}  (10345 / 15596)
{38} -> {39, 48}  (6102 / 15596)
{38} -> {41}  (3897 / 15596)
{38} -> {48}  (7944 / 15596)
{38, 39} -> {41}  (3051 / 10345)
{38, 39} -> {48}  (6102 / 10345)
{39} -> {38}  (10345 / 50675)
{39} -> {41}  (11414 / 50675)
{39} -> {48}  (29142 / 50675)
{39, 41} -> {32}  (2359 / 11414)
{39, 41} -> {38}  (3051 / 11414)
{39, 41} -> {48}  (7366 / 11414)
{39, 48} -> {38}  (6102 / 29142)
{39, 48} -> {41}  (7366 / 29142)
{41} -> {32}  (3196 / 14945)
{41} -> {38}  (3897 / 14945)
{41} -> {38, 39}  (3051 / 14945)
{41} -> {39}  (11414 / 14945)
{41} -> {39, 48}  (7366 / 14945)
{41} -> {48}  (9018 / 14945)
{41, 48} -> {32}  (2063 / 9018)
{41, 48} -> {38}  (2374 / 9018)
{41, 48} -> {38, 39}  (1991 / 9018)
{41, 48} -> {39}  (7366 / 9018)
{48} -> {39}  (29142 / 42135)
{48} -> {41}  (9018 / 42135)
